"Title","Summary","Text","Economy","Climate","Healthcare","Immigration","Education"
"The Green Infrastructure & Jobs Act of 2025","A comprehensive bill to upgrade national infrastructure with a focus on renewable energy, high-speed rail, and green manufacturing jobs.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'Green Infrastructure & Jobs Act of 2025'.

SEC. 2. FINDINGS AND PURPOSE.
(a) Findings.- Congress finds that:
  (1) The nation's infrastructure receives a grade of 'C-' from the American Society of Civil Engineers.
  (2) Extreme weather events caused by climate change are stressing aging utility grids.
(b) Purpose.- The purpose of this Act is to modernize infrastructure, creating 2 million jobs while reducing carbon emissions by 40% by 2030.

SEC. 3. RENEWABLE ENERGY GRID MODERNIZATION.
(a) Grant Program.- The Secretary of Energy shall establish a 'Smart Grid' grant program.
(b) Eligibility.- States, municipalities, and tribal governments are eligible to apply.
(c) Authorization.- There is authorized to be appropriated $50,000,000,000 for fiscal year 2026, to remain available until expended, for grid resilience upgrades including battery storage and transmission line expansion.

SEC. 4. HIGH-SPEED RAIL EXPANSION.
(a) Corridor Designation.- The Secretary of Transportation shall designate 5 new high-speed rail corridors.
(b) Funding.- $100,000,000,000 is appropriated for land acquisition and track construction.
(c) Speed Requirement.- Projects must be capable of sustaining speeds of at least 180 mph.

SEC. 5. GREEN MANUFACTURING TAX CREDITS.
(a) Credit.- A tax credit of 30% is established for retooling manufacturing facilities to produce electric vehicles, wind turbines, or solar panels.
(b) Labor Standards.- To qualify, facilities must pay prevailing wages and allow union organization.

SEC. 6. CLIMATE CONSERVATION CORPS.
Establishes a civilian conservation corps to employ 500,000 young adults in reforestation, wetland restoration, and urban greening projects.","0.6","0.9","0.1","0.0","0.4"
"The Secure Borders & Legal Pathways Act","A bill to increase border security funding while streamlining the visa process for high-skilled workers and agricultural labor.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'Secure Borders & Legal Pathways Act'.

SEC. 2. BORDER SECURITY APPROPRIATIONS.
(a) Physical Barrieer.- $5,000,000,000 is appropriated for the maintenance and improvement of physical barriers in high-traffic sectors.
(b) Technology.- $10,000,000,000 is allocated for the deployment of autonomous surveillance towers, drowns, and subterranean detection sensors.
(c) Personnel.- The Department of Homeland Security shall hire, train, and deploy 5,000 additional Border Patrol agents by 2027.

SEC. 3. VISA MODERNIZATION.
(a) H-1B Reform.- The annual cap on H-1B visas for specialty occupations is increased to 120,000.
(b) Spousal Work Authorization.- Spouses of H-1B holders (H-4) are automatically granted work authorization.
(c) Agricultural Guest Workers.- Establishes a W-2 visa program for year-round agricultural workers, capped at 50,000 annually, with a path to renewable status.

SEC. 4. ASYLUM SYSTEM OVERHAUL.
(a) Adjudication Centers.- Establishes 10 regional processing centers to adjudicate asylum claims within 60 days.
(b) Standard.- Raises the credible fear standard for initial asylum screening.
(c) Judges.- Authorizes the hiring of 300 additional immigration judges to reduce the backlog.","0.4","0.0","0.0","0.8","0.1"
"The Universal Healthcare Modernization Act","Expands Medicare coverage to include dental and vision, allows drug price negotiation, and increases subsidies for private marketplace plans.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'Universal Healthcare Modernization Act'.

SEC. 2. EXPANSION OF MEDICARE BENEFITS.
(a) Dental Coverage.- Title XVIII of the Social Security Act is amended to include coverage for preventive and restorative dental care, including dentures.
(b) Vision and Hearing.- Coverage is extended to include routine eye exams, eyeglasses, and hearing aids.
(c) Implementation.- Benefits under this section shall take effect on January 1, 2026.

SEC. 3. PRESCRIPTION DRUG NEGOTIATION.
(a) Authorization.- The Secretary of Health and Human Services is mandated to negotiate prices for the 100 most costly drugs to the Medicare pogram annually.
(b) Ceiling Price.- The negotiated price shall not exceed 120% of the average international market price.
(c) Penalty.- Manufacturers refusing to negotiate shall be subject to an excise tax of 95% on gross sales.

SEC. 4. PRIVATE MARKETPLACE STABILIZATION.
(a) Reinsurance.- Establishes a federal reinsurance pool to cover high-cost claims, reducing premiums for all enrollees.
(b) Subsidy Cap Removal.- Permanently removes the income cliff for ACA premium tax credits, ensuring no household pays more than 8.5% of income.","-0.2","0.0","0.9","0.1","0.0"
"The American Manufacturing Competitiveness Act","Provides tax incentives for domestic semiconductor production and imposes tariffs on specific imported technologies.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'American Manufacturing Competitiveness Act'.

SEC. 2. DOMESTIC SEMICONDUCTOR INCENTIVES.
(a) FAB Grant Program.- The Secretary of Commerce shall establish a fund of $52,000,000,000 to incentivize the construction of domestic semiconductor fabrication plants.
(b) Investment Tax Credit.- A 25% investment tax credit is created for the purchase of semiconductor manufacturing equipment.

SEC. 3. CRITICAL MINERALS SECURITY.
(a) Stockpile.- Authorizes the Department of Defense to expand the National Defense Stockpile of rare earth elements.
(b) Processing.- Provides loan guarantees for domestic mining and processing of lithium, cobalt, and nickel.

SEC. 4. TRADE ENFORCEMENT.
(a) Tariff Schedule.- Imposes a 15% ad valorem tariff on imported advanced logic chips and large-capacity batteries from non-allied nations.
(b) IP Protection.- Enhances peanlties for trade secret theft related to advanced manufacturing technologies.

SEC. 5. WORKFORCE PARTNERSHIPS.
Allocates $5,000,000,000 for partnerships between manufacturers and community colleges to design apprenticeship curricula.","0.8","0.2","0.0","-0.1","0.3"
"The Future of Education & AI Literacy Act","Mandates coding and AI literacy in K-12 curriculum and provides federal funding for teacher training in emerging technologies.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'Future of Education & AI Literacy Act'.

SEC. 2. NATIONAL CURRICULUM STANDARDS.
(a) Guidelines.- The Department of Education shall convene a task force to create voluntary national standards for Computer Science (CS) and Artificial Intelligence (AI) literacy.
(b) Integration.- Guidelines shall emphasize integrating AI ethics and data privacy into social studies and humanities coursework.

SEC. 3. TEACHER DEVELOPMENT GRANTS.
(a) Funding.- $2,000,000,000 is appropriated for grants to State educational agencies.
(b) Usage.- Funds must be used to train existing K-12 teachers in CS/AI pedagogy or to hire specialized instructors.
(c) Rural Set-Aside.- 20% of funds are reserved for schools in rural classifications.

SEC. 4. 1:1 DEVICE AND BROADBAND INITIATIVE.
(a) Goal.- To ensure every student has a personal learning device and home internet access.
(b) E-Rate Expansion.- Expands the E-Rate program to cover home Wi-Fi hotspots for low-income students.","0.5","0.0","0.0","0.0","0.9"
"The National Data Privacy Rights Act","Establishes a federal framework for consumer data privacy, preempting state laws and creating a Data Protection Agency.","SECTION 1. TITLE.
This Act may be cited as the 'National Data Privacy Rights Act'.

SEC. 2. CONSUMER DATA BILL OF RIGHTS.
(a) Right to Access.- Consumers have the right to confirm if a covered entity is processing their data and to access such data.
(b) Right to Delete.- Consumers may request deletion of personal data.
(c) Right to Opt-Out.- Consumers have the absolute right to opt-out of targeted advertising and the sale of their data.

SEC. 3. DATA MINIMIZATION.
Covered entities shall limits the collection of personal data to what is adequate, relevant, and reasonably necessary for the specified purpose.

SEC. 4. ENFORCEMENT.
(a) New Agency.- Establishes the Bureau of Data Protection within the FTC.
(b) Private Right of Action.- Individuals may bring civil action for damages ranging from $100 to $1,000 per violation if a breach occurs due to negligence.
(c) Preemption.- This Act supersedes any State law regarding data privacy, except for biometric data laws.","0.3","0.0","0.0","0.0","0.2"
"The Flat Tax Simplification Act","Replaces the progressive income tax code with a flat 17% tax rate on all individual and corporate income, eliminating most deductions.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'Flat Tax Simplification Act'.

SEC. 2. TAX RATE REFORM.
(a) Individual Income.- Section 1 of the Internal Revenue Code is amended to impose a single flat rate of 17% on all taxable income.
(b) Corporate Income.- Section 11 of the Internal Revenue Code is amended to impose a flat rate of 17% on corporate profits.
(c) Standard Deduction.- The standard deduction is increased to $35,000 for single filers and $70,000 for joint filers to protect low-income earners.

SEC. 3. ELIMINATION OF LOOPHOLES.
(a) Repeal.- All itemized deductions, exemptions, and credits are repealed, except for:
  (1) The Charitable Contribution Deduction.
  (2) The Mortgage Interest Deduction (capped at $500k principal).
(b) Capital Gains.- Capital gains and dividends shall be taxed as ordinary income at the 17% rate.

SEC. 4. SIMPLIFICATION.
Directs the IRS to develop a 'postcard' sized tax return form available to all filers by tax year 2026.","1.0","-0.3","-0.3","0.0","0.0"
"The Oceans Conservation & Plastic Reduction Act","Bans single-use plastics in federal facilities and provides grants for ocean cleanup and coral reef restoration.","SECTION 1. TITLE.
'Oceans Conservation & Plastic Reduction Act'.

SEC. 2. PLASTIC REDUCTION.
(a) Federal Ban.- Not later than 1 year after enactment, no single-use plastic product (straws, bags, cutlery, styrofoam) shall be procured or sold by any federal agency or on federal property.
(b) EPR Study.- The EPA shall conduct a study on Extended Producer Responsibility (EPR) frameworks to hold manufacturers accountable for waste.

SEC. 3. OCEAN RESTORATION GRANTS.
(a) Cleanup.- $2,000,000,000 is appropriated for NOAA to remove microplastics and ghost gear from the Exclusive Economic Zone.
(b) Coral Reefs.- $500,000,000 is authorized for coral propagation and heat-tolerance research.

SEC. 4. OFFSHORE DRILLING MORATORIUM.
Prohibits the issuance of new leases for oil and gas exploration in the Atlantic and Pacific Outer Continental Shelf regions.","-0.3","0.8","0.1","0.0","0.2"
"The Space Force Expansion & Mars Readiness Act","Increases funding for the US Space Force to accelerate the development of orbital defense systems and preparation for manned Mars missions.","SECTION 1. SHORT TITLE.
'Space Force Expansion & Mars Readiness Act'.

SEC. 2. ORBITAL DEFENSE.
(a) Findings.- Space is now a warfighting domain.
(b) Appropriations.- $30,000,000,000 is appropriated for the development of kinetic and non-kinetic anti-satellite (ASAT) defense systems.
(c) Constellations.- Funds shall be used to complete the low-earth orbit sensor layer for hypersonic missile tracking.

SEC. 3. MARS MISSION ACCELERATION.
(a) Goal.- It is the policy of the United States to land a human crew on Mars no later than 2035.
(b) Nuclear Propulsion.- Directs NASA and the DOE to accelerate the demonstration of nuclear thermal propulsion systems.
(c) Commercial Partnership.- Authorizes fixed-price contracts for heavy-lift launch vehicles and lunar gateway logistics.","0.7","0.1","0.0","0.0","0.3"
"The Urban Housing & Transit Grant Act","Provides block grants to cities for the construction of high-density affordable housing near public transit hubs.","SECTION 1. SHORT TITLE.
'Urban Housing & Transit Grant Act'.

SEC. 2. TRANSIT-ORIENTED DEVELOPMENT (TOD) GRANTS.
(a) Establishment.- The Secretary of HUD shall award grants to municipalities to zone for and construct high-density housing within 0.5 miles of rail or Bus Rapid Transit stations.
(b) Condition.- To receive funds, municipalities must eliminate detached single-family zoning within the designated TOD zones.

SEC. 3. AFFORDABILITY REQUIREMENTS.
(a) Set-Aside.- Projects funded under this Act must reserve at least 20% of units for households earning below 60% of the Area Median Income (AMI).
(b) Perpetual Affordability.- Affordability restrictions must remain in place for at least 50 years.

SEC. 4. FUNDING.
Appropriates $20,000,000,000 annually for fiscal years 2026-2030.","0.5","0.6","0.2","0.2","0.1"
"The Rural Broadband Access Act of 2025","Provides $40B in subsidies to ISPs to extend fiber optic networks to rural communities with population density under 50/sq mile.","SECTION 1. SHORT TITLE.
This Act may be cited as the 'Rural Broadband Access Act of 2025'.

SEC. 2. FINDINGS.
(1) High-speed internet is an essential utility for economic participation in the 21st century.
(2) Over 20 million Americans in rural areas lack access to broadband speeds of 100/20 Mbps.

SEC. 3. LAST MILE CONNECTIVITY FUND.
(a) Appropriation.- $40,000,000,000 is appropriated to the NTIA for widespread deployment.
(b) Reverse Auctions.- Funds shall be distributed via reverse auction to the provider bidding the lowest subsidy to connect unserved census blocks.
(c) Tech Neutrality.- Fiber-to-the-home projects shall receive priority weighting over fixed wireless or satellite solutions due to long-term scalability.

SEC. 4. DIGITAL LITERACY.
Authorizes $500,000,000 for grants to rural libraries and community centers to provide digital skills training.","0.6","0.0","0.2","0.0","0.7"
"The Federal Minimum Wage Adjustment Act","Raises the federal minimum wage to $15/hour over 3 years and indexes it to inflation thereafter.","SECTION 1. SHORT TITLE.
'Federal Minimum Wage Adjustment Act'.

SEC. 2. MINIMUM WAGE INCREASE.
Section 6(a)(1) of the Fair Labor Standards Act of 1938 is amended to increase the minimum wage to:
  (1) $11.00 an hour, effective on the first day of the third month after enactment.
  (2) $13.00 an hour, effective 1 year after the date in paragraph (1).
  (3) $15.00 an hour, effective 2 years after the date in paragraph (1).

SEC. 3. INDEXING.
(a) Automatic Adjustment.- Beginning 3 years after enactement, the Secretary of Labor shall annually adjut the wage based on the Consumer Price Index (CPI-W).
(b) No Decrease.- The adjustment shall never result in a decrease in the minimum wage.

SEC. 4. TIPPED WORKERS.
Gradually phases out the subminimum wage for tipped employees over a 5-year period until it equals the standard federal minimum wage.","-0.4","0.0","0.1","0.1","0.0"
"The Nuclear Energy Revitalization Act","Streamlines the permitting process for next-generation small modular nuclear reactors (SMRs) to boost carbon-free baseload power.","SECTION 1. TITLE.
'Nuclear Energy Revitalization Act'.

SEC. 2. REGULATORY REFORM.
(a) SMR Licensing.- The NRC shall establish a specialized, risk-informed licensing framework for Small Modular Reactors (SMRs) to be completed within 24 months.
(b) Fee Cap.- Caps the hourly fees charged by the NRC to applicants for advanced reactor designs to encourage innovation.

SEC. 3. SPENT FUEL RECYCLING.
(a) R&D.- Appropriates $2,000,000,000 for the Department of Energy to research pyroprocessing and other methods of recycling spent nuclear fuel.
(b) Pilot Program.- Authorizes the construction of a pilot recycling facility.

SEC. 4. TAX CREDITS.
Establishes a production tax credit of 1.5 cents per kilowatt-hour for electricity generated by advanced nuclear reactors placed in service after 2026.","0.5","0.7","0.0","0.0","0.1"
"The Public University Tuition Cap Act","Conditions federal funding for public universities on capping annual tuition increases to the rate of inflation.","SECTION 1. SHORT TITLE.
'Public University Tuition Cap Act'.

SEC. 2. FEDERAL FUNDING ELIGIBILITY.
(a) Condition.- No Federal funds under the Higher Education Act of 1965 may be provided to a public institution of higher education unless that institution certifies that its tuition and fees for in-state students have not increased by more than the CPI-U plus 1% over the preceding academic year.
(b) Waiver.- The Secretary of Education may grant a waiver in cases of severe financial distress or significant loss of State appropriations.

SEC. 3. ADMINISTRATIVE BLOAT STUDY.
The GAO shall conduct a comprehensive audit of administrative costs at public universities and report on the ratio of administrative to instructional spending.","0.2","0.0","0.0","0.0","0.8"
"The National Service Corps Expansion Act","Expands AmeriCorps and creates a new Climate Conservation Corps for young adults to work on public lands.","SECTION 1. SHORT TITLE.
'National Service Corps Expansion Act'.

SEC. 2. CLIMATE CIVILIAN CORPS.
(a) Establishment.- There is established the Climate Civilian Corps (CCC) within the Corporation for National and Community Service.
(b) Mission.- The CCC shall employ young adults (ages 18-26) to work on projects involving:
  (1) Wildfire risk reduction in federal forests.
  (2) Invasive species removal.
  (3) Installing solar panels on low-income housing.

SEC. 3. BENEFITS.
(a) Living Allowance.- Corps members shall receive a living allowance equivalent to $17 per hour.
(b) Educational Award.- Upon completion of 1 year of service, members receive an educational award equal to twice the value of the maximum Pell Grant.","-0.2","0.8","0.0","0.0","0.3"
"The Right to Repair Act","Requires electronics manufacturers to make parts and service manuals available to independent repair shops and consumers.","SECTION 1. SHORT TITLE.
'Right to Repair Act'.

SEC. 2. REQUIREMENTS FOR OEMs.
(a) Documentation.- Original Equipment Manufacturers (OEMs) of digital electronic equipment sold in the US must make diagnostic and repair documentation available to independent repair providers and owners at no charge.
(b) Parts and Tools.- OEMs must make service parts and special tools available for purchase upon fair and reasonable terms.
(c) Software Locks.- It shall be unlawful to use software locks that prevent a device from functioning solely because a part was replaced by an independent provider.

SEC. 3. ENFORCEMENT.
Violations of this Act shall be treated as unfair or deceptive acts or practices under the Federal Trade Commission Act.","0.4","0.3","0.0","0.0","0.0"
"The Voting Rights Advancement Act","Restores preclearance requirements for jurisdictions with a history of voter discrimination and establishes Election Day as a federal holiday.","SECTION 1. SHORT TITLE.
'Voting Rights Advancement Act'.

SEC. 2. RESTORATION OF PRECLEARANCE.
(a) Formula.- A State and all its political subdivisions shall be subject to preclearance requirements under the Voting Rights Act of 1965 if, during the previous 25 years, 15 or more voting rights violations occurred in the State.
(b) Scope.- Covered jurisdictions must obtain federal approval before changing voting laws (e.g., redistricting, voter ID, polling place closures).

SEC. 3. FEDERAL HOLIDAY.
(a) Election Day.- The Tuesday next after the first Monday in November, in every even-numbered year, is established as a legal public holiday known as 'Federal Election Day'.
(b) Leave.- Federal employees are granted paid leave, and private employers are encouraged to allow time off for voting.","-0.3","0.0","0.0","0.2","0.1"
"The Corporate Carbon Tax Act","Imposes a fee of $40 per metric ton of CO2 emissions on large corporations, with dividends returned to households.","SECTION 1. SHORT TITLE.
'Corporate Carbon Tax Act'.

SEC. 2. CARBON FEE.
(a) Imposition.- A carbon fee is imposed on any manufacturer, producer, or importer of a covered fuel (coal, petroleum, natural gas).
(b) Rate.- The rate shall be $40 per metric ton of CO2 equivalent in the first year, rising by 5% plus inflation annually.

SEC. 3. CARBON DIVIDEND TRUST FUND.
(a) Establishment.- Revenues from the fee shall be deposited into a Trust Fund.
(b) Dividend.- 100% of the net revenues shall be paid out as equal monthly dividends to every American resident with a Social Security number.

SEC. 4. BORDER ADJUSTMENT.
To protect US competitiveness, a carbon border adjustment tax shall be levied on carbon-intensive goods imported from countries without a comparable carbon pricing mechanism.","-0.5","1.0","0.2","0.0","0.0"
"The Pharmaceutical Patent Reform Act","Prohibits 'pay-for-delay' agreements and limits patent exclusivity extensions for minor drug modifications.","SECTION 1. SHORT TITLE.
'Pharmaceutical Patent Reform Act'.

SEC. 2. PAY-FOR-DELAY BAN.
(a) Presumption.- An agreement between a brand-name drug manufacturer and a generic applicant is presumed anticompetitive if the brand manufacturer transfers value to the generic applicant and the generic applicant agrees to limit or delay research, development, or sales.
(b) Penalties.- The FTC is authorized to levy civil penalties of up to 3 times the value transferred.

SEC. 3. PRODUCT HOPPING.
(a) Definition.- 'Product Hopping' refers to the practice of introducing a minor modification to a drug (e.g., switching from tablet to capsule) to extend patent protection and shift the market before generic entry.
(b) Limitation.- New formulations of existing drugs shall not be granted new exclusivity periods unless they demonstrate significant clinical superiority.","0.2","0.0","0.7","0.0","0.0"
"The Defense Modernization and Cybersecurity Act","Allocates $50B for offensive and defensive cyber capabilities and AI integration into military command systems.","SECTION 1. SHORT TITLE.
'Defense Modernization and Cybersecurity Act'.

SEC. 2. CYBER COMMAND RESILIENCE.
(a) Funding.- Appropriates $50,000,000,000 to United States Cyber Command (USCYBERCOM).
(b) Mission.- Funds shall be used to:
  (1) Harden critical military networks against state-sponsored intrusions.
  (2) Develop offensive cyber capabilities to deter aggression.

SEC. 3. AI INTEGRATION.
(a) JADC2.- Accelerates the Joint All-Domain Command and Control (JADC2) initiative using AI to link sensors from all military services into a single network.
(b) Autonomous Systems.- Authorizes procurement of unmanned wingman aircraft controlled by AI agents.

SEC. 4. WORKFORCE.
Creates a 'Cyber ROTC' scholarship program to recruit top computer science talent into military service.","0.6","0.0","0.0","-0.1","0.2"
"The Affordable Childcare Availability Act","Provides tax credits to expenses for childcare and grants for new childcare centers in deserts.","SECTION 1. SHORT TITLE.
'Affordable Childcare Availability Act'.

SEC. 2. TAX CREDIT EXPANSION.
(a) Refundability.- The Child and Dependent Care Tax Credit is made fully refundable.
(b) Increase.- The maximum credit rate is increased to 50% of allowable expenses, phased out for households earning over $200,000.
(c) Cap.- The limit on creditable expenses is raised to $8,000 for one child and $16,000 for two or more.

SEC. 3. CHILDCARE DESERT GRANTS.
(a) Fund.- Appropriates $5,000,000,000 for grants to open new childcare centers in areas with insufficient capacity ('deserts').
(b) Priority.- Priority is given to centers offering non-traditional hours (nights/weekends) for shift workers.","-0.2","0.0","0.4","0.1","0.5"
"The Wildfire Prevention and Management Act","Appropriates funds for controlled burns, forest thinning, and aerial firefighting assets in western states.","SECTION 1. SHORT TITLE.
'Wildfire Prevention and Management Act'.

SEC. 2. ACTIVE FOREST MANAGEMENT.
(a) Categorical Exclusions.- Expands NEPA categorical exclusions for forest thinning projects up to 10,000 acres in high-fire-risk zones.
(b) Prescribed Burns.- Allocates $3,000,000,000 annually for prescribed fire operations to reduce fuel loads.

SEC. 3. AERIAL ASSETS.
(a) Procurement.- Authorizes the acquisition of 20 new C-130 aircraft modified for aerial firefighting.
(b) Drone Surveillance.- Deploys a network of high-altitude solar drones for 24/7 wildfire infrared detection.

SEC. 4. WUI HARDENING.
Provides grants to homeowners in the Wildland-Urban Interface (WUI) to retrofit roofs and clear defensible space.","0.3","0.6","0.1","0.0","0.0"
"The Cryptocurrency Regulation and Stability Act","Classifies certain digital assets as securities and establishes a regulatory framework under the SEC and CFTC.","SECTION 1. SHORT TITLE.
'Cryptocurrency Regulation and Stability Act'.

SEC. 2. JURISDICTION.
(a) Commodities.- Bitcoin and Ether are classified as commodities under the exclusive jurisdiction of the CFTC.
(b) Securities.- Digital assets initially sold to raise capital for a centralized project are classified as securities under the SEC.

SEC. 3. STABLECOINS.
(a) Reserves.- Payment stablecoin issuers must maintain 1:1 reserves in high-quality liquid assets (cash, treasuries).
(b) Audits.- Issuers must submit to monthly attestations by a public accounting firm.

SEC. 4. CONSUMER PROTECTION.
(a) Segregation.- Exchanges must strictly segregate customer funds from proprietary trading accounts.
(b) Wash Trading.- Explicitly prohibits wash trading and market manipulation in digital asset markets.","0.5","0.1","0.0","0.0","0.0"
"The Veterans Health Choice Expansion Act","Allows veterans to receive care from private doctors at VA expense if VA appointment wait times exceed 20 days.","SECTION 1. SHORT TITLE.
'Veterans Health Choice Expansion Act'.

SEC. 2. ACCESS STANDARDS.
(a) Eligibility.- A covered veteran is eligible to elect to receive hospital care or medical services from a non-VA entity if:
  (1) The VA cannot schedule an appointment within 20 days of the request.
  (2) The veteran lives more than 30 minutes drive time from the nearest VA facility.

SEC. 3. REIMBURSEMENT.
(a) Rate.- The VA shall reimburse private providers at Medicare rates.
(b) Prompt Payment.- The Secretary must ensure claims are paid within 45 days.

SEC. 4. ELECTRONIC RECORDS.
Mandates full interoperability between VA electronic health records and private network providers to ensure continuity of care.","0.1","0.0","0.8","0.0","0.0"
"The Grid Modernization and Security Act","Funding for hardening the electrical grid against EMPs, cyberattacks, and extreme weather events.","SECTION 1. SHORT TITLE.
'Grid Modernization and Security Act'.

SEC. 2. GRID SECURITY.
(a) EMP Protection.- Requires critical substations to be retrofitted with shielding against Electromagnetic Pulses (EMP) and Geomagnetic Disturbances (GMD).
(b) Cyber Standards.- Directs FERC to establish stricter cybersecurity protocols for all bulk power system operators.

SEC. 3. SMART GRID INVESTMENTS.
(a) Grants.- $15,000,000,000 in matching grants to utilities for:
  (1) Deployment of smart meters.
  (2) Automated distribution management systems.
  (3) Grid storage integration.

SEC. 4. STRATEGIC TRANSFORMER RESERVE.
Establishes a stockpile of spare large power transformers to enable rapid recovery from physical attacks or catastrophic failures.","0.6","0.5","0.1","0.0","0.0"
"The Food Safety and Labeling Transparency Act","Requires clear labeling of GMOs and country of origin for all produce and meat sold in the US.","SECTION 1. SHORT TITLE.
'Food Safety and Labeling Transparency Act'.

SEC. 2. MANDATORY GMO LABELING.
(a) Requirement.- Any food offered for retail sale that is bioengineered or contains bioengineered ingredients must bear a clear text label on the front of the package stating 'Contains Bioengineered Food'.
(b) QR Codes.- QR codes or digital links alone shall not satisfy this requirement.

SEC. 3. COUNTRY OF ORIGIN LABELING (COOL).
(a) Reinstatement.- Reinstates mandatory COOL requirements for beef and pork products.
(b) Definition.- Meat may only be labeled 'Product of USA' if the animal was born, raised, and slaughtered in the United States.

SEC. 4. TRACEABILITY.
Directs the FDA to implement a blockchain-based traceability system for high-risk foods (leafy greens, seafood) to rapidly identify contamination sources.","0.0","0.2","0.4","0.0","0.0"
"The National Apprenticeship Act of 2025","Expands registered apprenticeship programs in non-traditional fields like tech, healthcare, and finance.","SECTION 1. SHORT TITLE.
'National Apprenticeship Act of 2025'.

SEC. 2. EXPANSION OF PROGRAMS.
(a) Grants.- The Department of Labor shall award grants to industry intermediaries to develop registered apprenticeship programs in sectors including:
  (1) Cybersecurity and IT.
  (2) Nursing and Allied Health.
  (3) Green Energy.
  (4) Finance.

SEC. 3. STANDARDS.
(a) Quality.- Programs must include paid on-the-job learning, related technical instruction, and a recognized credential.
(b) Diversity.- Grants shall prioritize programs that recruit from underrepresented populations.

SEC. 4. COORDINATION.
Establishes the Office of Apprenticeship to coordinate with State labor agencies and streamlined the registration process.","0.5","0.0","0.2","0.1","0.6"
"The Fair Housing Enforcement Act","Increases penalties for housing discrimination and funds testers to identify violations of the Fair Housing Act.","SECTION 1. SHORT TITLE.
'Fair Housing Enforcement Act'.

SEC. 2. ENHANCED PENALTIES.
(a) Civil Penalties.- Section 812(g)(3) of the Fair Housing Act is amended to increase maximum civil penalties:
  (1) Fist violation: $50,000 (previously $16,000).
  (2) Subsequent violations: $100,000.

SEC. 3. TESTING PROGRAM.
(a) Funding.- Appropriates $100,000,000 annually for the Private Enforcement Initiative (PEI).
(b) Testers.- Funds shall be used to deploy paired testers (individuals of different races/classes with similar financial profiles) to audit rental and lending practices for discrimination.

SEC. 4. ALGORITHMIC BIAS.
Prohibits the use of tenant screening algorithms that result in a disparate impact on protected classes.","-0.2","0.1","0.2","0.1","0.1"
"The Social Security 2100 Act","Strengthens Social Security solvency by raising the cap on earnings subject to payroll taxes.","SECTION 1. SHORT TITLE.
'Social Security 2100 Act'.

SEC. 2. SOLVENCY MEASURES.
(a) Payroll Tax Cap.- The text applies the 12.4% OASDI payroll tax to all earnings above $400,000. (Currently capped at ~$160k).
(b) Donut Hole.- Earnings between the current cap and $400,000 remain tax-free, but the donut hole closes over time as the cap adjusts for inflation.

SEC. 3. BENEFIT ENHANCEMENTS.
(a) COLA.- Adopts the Consumer Price Index for the Elderly (CPI-E) to calculate Cost-of-Living Adjustments, better reflecting senior expenses like healthcare.
(b) Minimum Benefit.- Sets the minimum benefit at 125% of the federal poverty line for long-term workers.

SEC. 4. TAX CUT FOR SENIORS.
Increases the threshold for taxation of Social Security benefits, lowering taxes for middle-income retirees.","-0.4","0.0","0.5","0.0","0.0"
"The Drone Delivery Safety Act","Establishes low-altitude airspace corridors for commercial drone delivery and sets noise restrictions.","SECTION 1. SHORT TITLE.
'Drone Delivery Safety Act'.

SEC. 2. UNMANNED TRAFFIC MANAGEMENT (UTM).
(a) Implementation.- The FAA shall implement a UTM system to manage low-altitude drone traffic (below 400 ft) within 24 months.
(b) Corridors.- Designated 'drone highways' shall be established over major roadways and waterways to minimize risk to people on the ground.

SEC. 3. SAFETY AND PRIVACY.
(a) Remote ID.- All delivery drones must broadcast Remote ID signals for identification by law enforcement and the public.
(b) Cameras.- Drones are prohibited from recording video of private property during delivery operations, except for navigation safety.

SEC. 4. NOISE CONTROL.
(a) Standards.- The EPA and FAA shall establish strict noise emission standards for delivery drones.
(b) Curfews.- Municipalities retain the right to restrict drone delivery operations during night hours (10 PM to 7 AM).","0.7","0.1","0.0","0.0","0.0"
